,Year,Precipitation amount (mm),Snow depth (cm),Air temperature (degC),Day,Month,Hour,Auroransilta,Eteläesplanadi,Huopalahti (asema),Kaisaniemi/Eläintarhanlahti,Kaivokatu,Kulosaaren silta et.,Kulosaaren silta po. ,Kuusisaarentie,"Käpylä, Pohjoisbaana",Lauttasaaren silta eteläpuoli,Merikannontie,Munkkiniemen silta eteläpuoli,Munkkiniemi silta pohjoispuoli,Heperian puisto/Ooppera,Pitkäsilta itäpuoli,Pitkäsilta länsipuoli,Lauttasaaren silta pohjoispuoli,Ratapihantie,Viikintie,Baana
0,2017,-1.0,-1.0,0.6,1,1,276,0.0,158.0,120.0,124.0,0.0,3.0,163.0,151.0,0.0,444.0,285.0,168.0,107.0,249.0,156.0,229.0,155.0,103.0,0.0,218.0
1,2017,4.4,-1.0,-3.9,2,1,276,0.0,419.0,540.0,401.0,0.0,0.0,536.0,375.0,0.0,831.0,589.0,465.0,224.0,744.0,459.0,283.0,335.0,538.0,0.0,913.0
2,2017,6.6,7.0,-6.5,3,1,276,0.0,288.0,445.0,309.0,0.0,0.0,427.0,349.0,0.0,463.0,462.0,439.0,178.0,692.0,331.0,173.0,263.0,451.0,0.0,725.0
3,2017,-1.0,13.0,-12.8,4,1,276,0.0,232.0,334.0,211.0,0.0,0.0,324.0,244.0,0.0,486.0,309.0,267.0,143.0,480.0,250.0,164.0,187.0,324.0,0.0,563.0
4,2017,-1.0,10.0,-17.8,5,1,276,0.0,195.0,219.0,169.0,0.0,0.0,176.0,154.0,0.0,356.0,223.0,185.0,95.0,306.0,190.0,107.0,150.0,205.0,0.0,365.0
5,2017,0.3,10.0,-17.8,6,1,276,0.0,99.0,39.0,28.0,0.0,0.0,75.0,42.0,0.0,187.0,79.0,55.0,42.0,115.0,72.0,91.0,63.0,61.0,0.0,117.0
6,2017,5.3,10.0,-3.8,7,1,276,0.0,102.0,47.0,38.0,0.0,0.0,89.0,42.0,0.0,126.0,80.0,51.0,37.0,112.0,79.0,115.0,52.0,74.0,0.0,120.0
7,2017,-1.0,12.0,-0.5,8,1,276,0.0,135.0,91.0,94.0,0.0,0.0,128.0,95.0,0.0,235.0,259.0,142.0,62.0,249.0,131.0,124.0,111.0,111.0,0.0,198.0
8,2017,1.1,12.0,0.5,9,1,276,0.0,449.0,540.0,423.0,0.0,0.0,565.0,488.0,0.0,1114.0,615.0,654.0,234.0,864.0,506.0,253.0,411.0,626.0,0.0,939.0
9,2017,0.3,9.0,1.7,10,1,276,0.0,469.0,531.0,407.0,0.0,0.0,610.0,405.0,0.0,1015.0,694.0,725.0,261.0,864.0,522.0,271.0,416.0,651.0,0.0,928.0
10,2017,-1.0,7.0,-1.6,11,1,276,0.0,404.0,536.0,412.0,0.0,0.0,561.0,375.0,0.0,1086.0,563.0,624.0,225.0,799.0,527.0,272.0,396.0,605.0,0.0,858.0
11,2017,8.0,7.0,-2.8,12,1,276,0.0,406.0,484.0,398.0,0.0,0.0,414.0,314.0,0.0,815.0,516.0,538.0,221.0,773.0,455.0,229.0,358.0,504.0,0.0,822.0
12,2017,0.1,13.0,1.1,13,1,276,0.0,379.0,376.0,262.0,0.0,0.0,375.0,281.0,0.0,637.0,450.0,461.0,175.0,695.0,392.0,256.0,298.0,379.0,0.0,665.0
